                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0467,                  3.475,                 1.4909,                0.02778,                    0.9,                0.36897,                0.22175,                0.56645,                 4.0206,                  1.318,                  4e-05,                  4e-05,                  4e-05
                      2,                0.74313,                 3.2851,                 1.2941,                  0.041,                    0.9,                0.80131,                0.64411,                0.42025,                 3.9176,                 1.1401,              8.703e-05,              8.703e-05,              8.703e-05
                      3,                0.58268,                 2.7604,                 1.1497,                 0.0641,                      1,                0.89961,                0.80426,                 0.3716,                 3.7081,                  1.036,             0.00013076,             0.00013076,             0.00013076
                      4,                0.60769,                 2.0493,                 1.1752,                0.08065,                      1,                0.90876,                0.73781,                0.46087,                  3.458,                 1.1266,             0.00017119,             0.00017119,             0.00017119
                      5,                0.53047,                 1.6374,                 1.1245,                0.14184,                      1,                0.94139,                0.84834,                0.44088,                 3.3542,                 1.1026,             0.00020832,             0.00020832,             0.00020832
                      6,                0.52581,                 1.2642,                 1.1051,                 0.2381,                      1,                 0.9037,                0.77658,                0.53445,                 3.6619,                 1.1444,             0.00024215,             0.00024215,             0.00024215
                      7,                0.50026,                  1.167,                 1.0806,                0.79213,                0.57244,                0.84407,                0.75249,                 0.5299,                 3.3533,                 1.1562,             0.00027268,             0.00027268,             0.00027268
                      8,                0.46486,                 1.1174,                 1.0653,                      1,                0.84729,                0.97548,                0.85003,                0.57216,                 2.5328,                 1.2317,             0.00029991,             0.00029991,             0.00029991
                      9,                0.46511,                 1.0077,                  1.087,                      1,                0.99932,                  0.995,                0.89262,                0.55705,                 1.5662,                 1.2811,             0.00032384,             0.00032384,             0.00032384
                     10,                0.46855,                 1.0004,                   1.03,                 0.9973,                      1,                  0.995,                0.84915,                0.59912,                 1.5585,                 1.2533,             0.00034447,             0.00034447,             0.00034447
                     11,                0.43937,                0.90215,                0.98638,                      1,                0.99539,                  0.995,                0.87076,                0.53702,                 1.5318,                 1.1637,              0.0003618,              0.0003618,              0.0003618
                     12,                0.43062,                0.87776,                0.99054,                0.99489,                      1,                  0.995,                0.86827,                0.53706,                 1.5496,                 1.1676,             0.00037583,             0.00037583,             0.00037583
                     13,                0.44961,                0.89676,                 1.0278,                0.99432,                      1,                  0.995,                0.87945,                 0.5404,                 1.6081,                 1.1799,             0.00038656,             0.00038656,             0.00038656
                     14,                0.44723,                 0.8645,                0.99495,                0.99435,                   0.95,                0.99262,                 0.8588,                 0.5958,                 1.6754,                 1.2909,             0.00039399,             0.00039399,             0.00039399
                     15,                0.40546,                0.88045,                 1.0049,                0.93465,                      1,                0.99024,                0.81876,                0.61524,                 1.4941,                   1.37,             0.00039812,             0.00039812,             0.00039812
                     16,                 0.4697,                0.92571,                 1.0682,                0.99368,                      1,                  0.995,                0.86296,                0.56878,                  1.409,                 1.2622,             0.00039895,             0.00039895,             0.00039895
                     17,                0.41062,                0.81679,                0.98488,                0.90279,                      1,                0.98545,                0.87301,                0.52775,                 1.8681,                  1.161,             0.00039648,             0.00039648,             0.00039648
                     18,                0.44361,                0.85573,                0.98976,                0.99096,                   0.95,                0.99045,                0.87702,                0.56016,                 1.8509,                 1.1737,             0.00039071,             0.00039071,             0.00039071
                     19,                0.40304,                 0.8224,                0.98657,                 0.9966,                   0.95,                0.99262,                0.88387,                0.49666,                 1.4666,                 1.1322,             0.00038164,             0.00038164,             0.00038164
                     20,                0.40849,                0.77097,                0.98778,                      1,                0.99569,                  0.995,                 0.9029,                0.45413,                 1.4105,                 1.0567,             0.00036927,             0.00036927,             0.00036927
                     21,                0.35041,                 1.4913,                0.98574,                0.99297,                   0.95,                0.99045,                0.89769,                0.46059,                 1.5976,                 1.0673,                0.00034,                0.00034,                0.00034
                     22,                0.36618,                 1.4809,                 1.0521,                0.99646,                   0.95,                0.99262,                0.84139,                0.53665,                 1.7161,                  1.133,               0.000307,               0.000307,               0.000307
                     23,                0.36094,                 1.2964,                0.99567,                0.99505,                   0.95,                0.99262,                0.78113,                0.65969,                 1.7892,                 1.2721,               0.000274,               0.000274,               0.000274
                     24,                0.39383,                 1.3125,                 1.0215,                      1,                0.94496,                0.98848,                0.84109,                0.56609,                 1.8643,                 1.1776,               0.000241,               0.000241,               0.000241
                     25,                0.36429,                 1.2912,                 1.0191,                      1,                0.99172,                  0.995,                0.90118,                0.47981,                 1.6853,                 1.1032,               0.000208,               0.000208,               0.000208
                     26,                  0.328,                 1.2142,                0.95763,                      1,                0.99517,                  0.995,                0.90993,                0.43147,                  1.534,                 1.0641,               0.000175,               0.000175,               0.000175
                     27,                0.31935,                 1.1713,                0.92324,                      1,                0.99721,                  0.995,                0.92403,                0.41419,                 1.4089,                  1.051,               0.000142,               0.000142,               0.000142
                     28,                0.33163,                 1.1874,                0.99495,                 0.9983,                      1,                  0.995,                0.92902,                0.39943,                 1.2766,                 1.0327,               0.000109,               0.000109,               0.000109
                     29,                0.31813,                 1.1113,                 0.9888,                0.99787,                      1,                  0.995,                0.92188,                0.39234,                 1.2424,                 1.0216,                7.6e-05,                7.6e-05,                7.6e-05
                     30,                0.32598,                 1.1125,                0.98056,                 0.9976,                      1,                  0.995,                0.91289,                0.39151,                 1.2275,                 1.0195,                4.3e-05,                4.3e-05,                4.3e-05
